datetime,open,low,high,close,volume,oi
2021-09-15 9:30,9.95,9.9,10.65,10.3,-1,-1
2021-09-15 9:31,10.3,9.95,10.45,10.125,-1,-1
2021-09-15 9:32,10.125,9.65,10.2,9.725,-1,-1
2021-09-15 9:33,9.725,9.45,9.95,9.875,-1,-1
2021-09-15 9:34,9.875,9.775,10.05,9.825,-1,-1
2021-09-15 9:35,9.825,9.6,9.9,9.775,-1,-1
2021-09-15 9:36,9.775,9.475,9.8,9.525,-1,-1
2021-09-15 9:37,9.525,9.375,9.625,9.45,-1,-1
2021-09-15 9:38,9.45,9.325,9.5,9.425,-1,-1
2021-09-15 9:39,9.425,9.35,9.525,9.45,-1,-1
2021-09-15 9:40,9.45,9.45,9.625,9.475,-1,-1
2021-09-15 9:41,9.475,9.2,9.475,9.275,-1,-1
2021-09-15 9:42,9.275,9.075,9.35,9.075,-1,-1
2021-09-15 9:43,9.075,9.075,9.25,9.15,-1,-1
2021-09-15 9:44,9.15,9.025,9.225,9.05,-1,-1
2021-09-15 9:45,9.05,9.025,9.325,9.275,-1,-1
2021-09-15 9:46,9.275,9.25,9.375,9.325,-1,-1
2021-09-15 9:47,9.325,9.25,9.35,9.325,-1,-1
2021-09-15 9:48,9.325,9.25,9.475,9.25,-1,-1
2021-09-15 9:49,9.25,9.175,9.325,9.225,-1,-1
2021-09-15 9:50,9.225,9.025,9.275,9.05,-1,-1
2021-09-15 9:51,9.05,8.925,9.1,8.975,-1,-1
2021-09-15 9:52,8.975,8.7,8.975,8.7,-1,-1
2021-09-15 9:53,8.7,8.65,8.775,8.675,-1,-1
2021-09-15 9:54,8.675,8.575,8.775,8.575,-1,-1
2021-09-15 9:55,8.575,8.525,8.75,8.525,-1,-1
2021-09-15 9:56,8.525,8.5,8.7,8.55,-1,-1
2021-09-15 9:57,8.55,8.55,8.775,8.75,-1,-1
2021-09-15 9:58,8.75,8.725,8.875,8.875,-1,-1
2021-09-15 9:59,8.875,8.825,8.95,8.9,-1,-1
2021-09-15 10:00,8.9,8.775,9.025,8.8,-1,-1
2021-09-15 10:01,8.8,8.625,8.825,8.625,-1,-1
2021-09-15 10:02,8.625,8.625,8.875,8.875,-1,-1
2021-09-15 10:03,8.875,8.775,8.875,8.775,-1,-1
2021-09-15 10:04,8.775,8.725,8.825,8.725,-1,-1
2021-09-15 10:05,8.725,8.625,8.725,8.625,-1,-1
2021-09-15 10:06,8.625,8.55,8.725,8.55,-1,-1
2021-09-15 10:07,8.55,8.55,8.675,8.65,-1,-1
2021-09-15 10:08,8.65,8.525,8.725,8.6,-1,-1
2021-09-15 10:09,8.6,8.6,8.775,8.725,-1,-1
2021-09-15 10:10,8.725,8.725,8.825,8.775,-1,-1
2021-09-15 10:11,8.775,8.55,8.775,8.55,-1,-1
2021-09-15 10:12,8.55,8.275,8.575,8.325,-1,-1
2021-09-15 10:13,8.325,8.2,8.375,8.375,-1,-1
2021-09-15 10:14,8.375,8.225,8.425,8.275,-1,-1
2021-09-15 10:15,8.275,8.225,8.325,8.325,-1,-1
2021-09-15 10:16,8.325,8.275,8.35,8.325,-1,-1
2021-09-15 10:17,8.325,8.275,8.35,8.325,-1,-1
2021-09-15 10:18,8.325,8.225,8.325,8.25,-1,-1
2021-09-15 10:19,8.25,8.15,8.275,8.25,-1,-1
2021-09-15 10:20,8.25,8.2,8.4,8.375,-1,-1
2021-09-15 10:21,8.375,8.325,8.45,8.325,-1,-1
2021-09-15 10:22,8.325,8.275,8.325,8.325,-1,-1
2021-09-15 10:23,8.325,8.25,8.35,8.25,-1,-1
2021-09-15 10:24,8.25,8.2,8.275,8.225,-1,-1
2021-09-15 10:25,8.225,8.225,8.425,8.375,-1,-1
2021-09-15 10:26,8.375,8.3,8.475,8.325,-1,-1
2021-09-15 10:27,8.325,8.3,8.375,8.325,-1,-1
2021-09-15 10:28,8.325,8.225,8.375,8.25,-1,-1
2021-09-15 10:29,8.25,8.05,8.25,8.175,-1,-1
2021-09-15 10:30,8.175,8.1,8.275,8.25,-1,-1
2021-09-15 10:31,8.25,8.2,8.325,8.225,-1,-1
2021-09-15 10:32,8.225,8.1,8.25,8.125,-1,-1
2021-09-15 10:33,8.125,7.95,8.125,8.025,-1,-1
2021-09-15 10:34,8.025,8.025,8.2,8.175,-1,-1
